file_id,relative_path,file_name,ext,size_mb,last_modified,type_guess,forno_guess,variable_guess,n_cols,has_timestamp,timestamp_column,encoding_used,notes
e93970a0bb,dados_iniciais/Corridas/2024_F4_Corrida.csv,2024_F4_Corrida.csv,.csv,0.889,2025-04-30T10:39:40,csv,,Corrida,34,yes,Data_Base,utf-8,
1e110ae1d6,dados_iniciais/Corridas/2024_F3_Corrida.csv,2024_F3_Corrida.csv,.csv,0.39,2025-04-30T10:39:34,csv,,Corrida,34,yes,Data_Base,utf-8,
a31613dbc3,dados_iniciais/Corridas/2018_F4_Corrida.csv,2018_F4_Corrida.csv,.csv,0.661,2025-04-30T10:36:32,csv,,Corrida,34,yes,Data_Base,utf-8,
0baf255926,dados_iniciais/Corridas/2018_F3_Corrida.csv,2018_F3_Corrida.csv,.csv,0.546,2025-04-30T10:36:28,csv,,Corrida,34,yes,Data_Base,utf-8,
0d6859377a,dados_iniciais/Corridas/2018_F5_Corrida.csv,2018_F5_Corrida.csv,.csv,0.652,2025-04-30T10:36:38,csv,,Corrida,34,yes,Data_Base,utf-8,
55ad26a1cb,dados_iniciais/Corridas/2020_F1_Corrida.csv,2020_F1_Corrida.csv,.csv,0.609,2025-04-30T10:37:20,csv,,Corrida,34,yes,Data_Base,utf-8,
44a36a82a2,dados_iniciais/Corridas/2020_F5_Corrida.csv,2020_F5_Corrida.csv,.csv,0.785,2025-04-30T10:37:44,csv,,Corrida,34,yes,Data_Base,utf-8,
2b5d390d6b,dados_iniciais/Corridas/2023_F5_Corrida.csv,2023_F5_Corrida.csv,.csv,0.905,2025-04-30T10:39:18,csv,,Corrida,34,yes,Data_Base,utf-8,
5ac4507301,dados_iniciais/Corridas/2023_F3_Corrida.csv,2023_F3_Corrida.csv,.csv,0.431,2025-04-30T10:39:06,csv,,Corrida,34,yes,Data_Base,utf-8,
2d109d615a,dados_iniciais/Corridas/2018_F2_Corrida.csv,2018_F2_Corrida.csv,.csv,0.648,2025-04-30T10:36:22,csv,,Corrida,34,yes,Data_Base,utf-8,
2e8b51250b,dados_iniciais/Corridas/2022_F2_Corrida.csv,2022_F2_Corrida.csv,.csv,0.655,2025-04-30T10:38:30,csv,,Corrida,35,yes,Data_Base,utf-8,
